İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
67085-874,218 Gün Önce,Satılık,Daire,2 + 1,85 m2,Zemin,32 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,25 TL,Hayır,Keçiören,Şenlik,168.000 TL
122234-22,47 Gün Önce,Satılık,Daire,5 + 1,247 m2,3. Kat,1 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Uygun,Eşyalı Değil,3,,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Çankaya,Çayyolu,2.600.000 TL
122234-16,54 Gün Önce,Satılık,Daire,4 + 1,203 m2,19. Kat,Sıfır Bina,Merkezi (Pay Ölçer),24 Katlı,Uygun,Eşyalı Değil,3,,Sıfır,Boş,,,Hayır,Çankaya,Beytepe,1.685.000 TL
122234-14,55 Gün Önce,Satılık,Daire,3 + 1,176 m2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),7 Katlı,Uygun,Eşyalı Değil,2,,Sıfır,Boş,,,Hayır,Çankaya,Beytepe,1.490.000 TL
122234-29,8 Gün Önce,Satılık,Daire,4 + 1,243 m2,11. Kat,Sıfır Bina,Merkezi (Pay Ölçer),24 Katlı,Uygun,Eşyalı Değil,3,,Sıfır,Boş,,,Hayır,Çankaya,Çayyolu,2.200.000 TL
91527-8906,4 Gün Önce,Satılık,Daire,3 + 1,130 m2,1. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Çankaya,Ata,529.000 TL
16354-21044,Bugün,Satılık,Daire,4 + 1,317 m2,20. Kat,Sıfır Bina,Merkezi (Pay Ölçer),27 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Keçiören,Ovacık,1.100.000 TL
36828-3450,Bugün,Satılık,Daire,4 + 1,190 m2,16. Kat,1 Yaşında,Merkezi,16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Etimesgut,Bağlıca,925.000 TL
37380-3520,11 Gün Önce,Satılık,Residence,6 + 1,576 m2,4. Kat,Sıfır Bina,Merkezi (Pay Ölçer),6 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Çankaya,Beytepe,4.850.000 TL
4901-2147,7 Gün Önce,Satılık,Daire,4 + 1,250 m2,12. Kat,Sıfır Bina,Merkezi (Pay Ölçer),27 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,200 TL,Evet,Keçiören,Ovacık,1.100.000 TL
