İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Semt,Mahalle,Fiyat
124743-42,Bugün,Satılık,Daire,2 + 1,"
                          105 m2
                        ",1. Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Evet,Güney,1.500 TL,Doğalgaz,Evet,Keçiören,Ayvalı,217.000 TL
74395-199,Dün,Satılık,Residence,4 + 1,"
                          225 m2
                        ",1. Kat,Sıfır Bina,Kombi,25 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,200 TL,Evet,Güney,2.500 TL,Doğalgaz,,Mamak,General Zeki Doğan,975.000 TL
36828-3455,2 Gün Önce,Satılık,Daire,4 + 1,"
                          200 m2
                        ",1. Kat,Sıfır Bina,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,3.000 TL,Doğalgaz,,Etimesgut,Bağlıca,1.199.000 TL
16354-21659,6 Gün Önce,Satılık,Daire,4 + 1,"
                          225 m2
                        ",6. Kat,Sıfır Bina,Merkezi (Pay Ölçer),22 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",3.500 TL,Doğalgaz,Evet,Keçiören,Ovacık,950.000 TL
1170-4848,19 Gün Önce,Satılık,Daire,4 + 1,"
                          220 m2
                        ",4. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,,,,Hayır,"Güney, Batı",,Doğalgaz,Evet,Çankaya,Maltepe,1.300.000 TL
36828-3530,2 Gün Önce,Satılık,Daire,4 + 1,"
                          218 m2
                        ",1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,4.500 TL,Doğalgaz,Evet,Etimesgut,Bağlıca,1.349.000 TL
54420-1781,10 Gün Önce,Satılık,Daire,3 + 1,"
                          110 m2
                        ",3. Kat,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,40 TL,Hayır,"Güney, Doğu",2.400 TL,Doğalgaz,Evet,Çankaya,Bahçelievler,650.000 TL
4901-1545,4 Gün Önce,Satılık,Daire,4 + 1,"
                          200 m2
                        ",3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,150 TL,Evet,"Kuzey, Güney, Doğu, Batı",3.500 TL,Doğalgaz,Evet,Keçiören,Ovacık,869.000 TL
123854-30,19 Gün Önce,Satılık,Daire,4 + 1,"
                          262 m2
                        ",1. Kat,Sıfır Bina,Merkezi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,Etimesgut,Bağlıca,1.299.000 TL
114844-466,13 Gün Önce,Satılık,Daire,2 + 1,"
                          110 m2
                        ",5. Kat,Sıfır Bina,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,Etimesgut,Bağlıca,799.000 TL
