Semt,Mahalle,kizilaya mesafe,hastane mesafe
Çankaya,100. Yıl,3.1 ,0.4
Çankaya,Ahlatlıbel,18.0 ,11.7
Çankaya,Akarlar,42.1 ,37.0
Çankaya,Akpınar,8.3 ,4.4
Çankaya,Alacaatlı,21.8 ,13.9
Çankaya,Anıttepe,1.7 ,1.9
Çankaya,Arka Topraklık,2.3 ,0.3
Çankaya,Aşağı İmrahor,6.1 ,3.6
Çankaya,Aşağı Öveçler,4.9 ,2.2
Çankaya,Aşıkpaşa,4.0 ,2.1
Çankaya,Ata,6.4 ,2.9
Çankaya,Aydınlar,5.5 ,2.7
Çankaya,Ayrancı,2.8 ,1.8
Çankaya,Aziziye,4.5 ,2.1
Çankaya,Bademlidere,5.5 ,3.4
Çankaya,Bağcılar,4.7 ,2.4
Çankaya,Bahçelievler,3.3 ,3.0
Çankaya,Balgat,4.1 ,0.5
Çankaya,Barbaros,2.3 ,0.3
Çankaya,Bayraktar,3.9 ,1.3
Çankaya,Beytepe,16.4 ,11.8
Çankaya,Birlik,6.2 ,0.9
Çankaya,Boztepe,4.7 ,2.8
Çankaya,Büyükesat,4.9 ,1.4
Çankaya,Cebeci,3.0 ,1.7
Çankaya,Cevizlidere,6.3 ,1.5
Çankaya,Cumhuriyet,0.5 ,0.6
Çankaya,Çamlıtepe,2.2 ,0.9
Çankaya,Çankaya Mah,4.0 ,1.4
Çankaya,Çavuşlu,41.4 ,35.8
Çankaya,Çayyolu,16.4 ,8.6
Çankaya,Çiğdem,7.5 ,1.6
Çankaya,Çukurambar,6.3 ,1.9
Çankaya,Devlet,2.8 ,2.4
Çankaya,Dilekler,2.8 ,0.3
Çankaya,Dodurga,25.8 ,18.0
Çankaya,Doğuş,2.5 ,1.1
Çankaya,Ehlibeyt,5.7 ,1.1
Çankaya,Emek,3.8 ,1.6
Çankaya,Ertuğrulgazi,3.3 ,1.6
Çankaya,Erzurum,2.4 ,1.6
Çankaya,Esatoğlu,2.1 ,0.9
Çankaya,Eti,1.1 ,1.5
Çankaya,Evciler,29.9 ,24.8
Çankaya,Fakülteler,2.5 ,1.2
Çankaya,Fidanlık,1.0 ,1.0
Çankaya,Gaziosmanpaşa,3.3 ,0.9
Çankaya,Gökkuşağı,7.3 ,2.5
Çankaya,Göktürk,2.8 ,1.4
Çankaya,Güvenevler,3.1 ,1.4
Çankaya,Güzeltepe,4.8 ,1.8
Çankaya,Harbiye,4.0 ,3.0
Çankaya,Hilal,6.6 ,0.9
Çankaya,Huzur,6.8 ,2.7
Çankaya,İleri,2.0 ,0.5
Çankaya,İlkadım,5.4 ,2.2
Çankaya,İlkbahar,9.7 ,3.9
Çankaya,İlker,7.6 ,3.1
Çankaya,İncesu,1.8 ,0.7
Çankaya,İşçi Blokları,6.7 ,1.1
Çankaya,Karahasanlı,34.2 ,28.6
Çankaya,Karapınar,7.5 ,3.5
Çankaya,Karataş,15.2 ,9.9
Çankaya,Kavaklıdere,1.5 ,1.0
Çankaya,Kazım Özalp,4.5 ,1.0
Çankaya,Keklikpınarı,8.1 ,4.4
Çankaya,Kırkkonaklar,5.9 ,2.0
Çankaya,Kızılay,0.1,0.4
Çankaya,Kızılırmak,5.1 ,0.6
Çankaya,Kocatepe,1.0 ,0.7
Çankaya,Konutkent,19.1 ,11.4
Çankaya,Korkutreis,0.7 ,1.1
Çankaya,Koru,16.8 ,9.2
Çankaya,Kömürcü,28.8 ,23.6
Çankaya,Küçükesat,2.5 ,0.6
Çankaya,Kültür,1.2 ,0.9
Çankaya,Malazgirt,6.4 ,3.0
Çankaya,Maltepe,1.1 ,1.3
Çankaya,Mebusevleri,2.4 ,2.5
Çankaya,Meşrutiyet,0.8 ,0.5
Çankaya,Metin Akkuş,6.7 ,2.4
Çankaya,Metin Oktay,3.2 ,1.5
Çankaya,Mimar Sinan,3.1 ,1.1
Çankaya,Muhsin Ertuğrul,2.9 ,0.7
Çankaya,Murat,3.7 ,1.0
Çankaya,Mustafa Kemal,8.7 ,3.3
Çankaya,Mutlukent,15.2 ,8.4
Çankaya,Mürsel Uluç,7.5 ,3.5
Çankaya,Naci Çakır,5.7 ,1.9
Çankaya,Namık Kemal,0.6 ,0.5
Çankaya,Nasuh Akar,3.8 ,1.0
Çankaya,Oğuzlar,4.7 ,0.6
Çankaya,Orta İmrahor,6.9 ,4.4
