Semt,Mahalle
Çankaya,100. Yıl
Çankaya,Ahlatlıbel
Çankaya,Akarlar
Çankaya,Akpınar
Çankaya,Alacaatlı
Çankaya,Anıttepe
Çankaya,Arka Topraklık
Çankaya,Aşağı Dikmen
Çankaya,Aşağı İmrahor
Çankaya,Aşağı Öveçler
Çankaya,Aşıkpaşa
Çankaya,Ata
Çankaya,Aydınlar
Çankaya,Ayrancı
Çankaya,Aziziye
Çankaya,Bademlidere
Çankaya,Bağcılar
Çankaya,Bahçelievler
Çankaya,Balgat
Çankaya,Barbaros
Çankaya,Bayraktar
Çankaya,Beytepe
Çankaya,Birlik
Çankaya,Boztepe
Çankaya,Büyükesat
Çankaya,Cebeci
Çankaya,Cevizlidere
Çankaya,Cumhuriyet
Çankaya,Çamlıtepe
Çankaya,Çankaya Mah
Çankaya,Çavuşlu
Çankaya,Çayyolu
Çankaya,Çiğdem
Çankaya,Çukurambar
Çankaya,Devlet
Çankaya,Dikmen
Çankaya,Dilekler
Çankaya,Dodurga
Çankaya,Doğuş
Çankaya,Ehlibeyt
Çankaya,Emek
Çankaya,Ertuğrulgazi
Çankaya,Erzurum
Çankaya,Esatoğlu
Çankaya,Eti
Çankaya,Evciler
Çankaya,Fakülteler
Çankaya,Fidanlık
Çankaya,Gaziosmanpaşa
Çankaya,Gökkuşağı
Çankaya,Göktürk
Çankaya,Güvenevler
Çankaya,Güzeltepe
Çankaya,Harbiye
Çankaya,Hilal
Çankaya,Huzur
Çankaya,İleri
Çankaya,İlkadım
Çankaya,İlkbahar
Çankaya,İlker
Çankaya,İncesu
Çankaya,İşçi Blokları
Çankaya,Karahasanlı
Çankaya,Karapınar
Çankaya,Karataş
Çankaya,Kavaklıdere
Çankaya,Kazım Özalp
Çankaya,Keklikpınarı
Çankaya,Kırkkonaklar
Çankaya,Kızılay
Çankaya,Kızılırmak
Çankaya,Kocatepe
Çankaya,Konutkent
Çankaya,Korkutreis
Çankaya,Koru
Çankaya,Kömürcü
Çankaya,Küçükesat
Çankaya,Kültür
Çankaya,Malazgirt
Çankaya,Maltepe
Çankaya,Mebusevleri
Çankaya,Meşrutiyet
Çankaya,Metin Akkuş
Çankaya,Metin Oktay
Çankaya,Mimar Sinan
Çankaya,Muhsin Ertuğrul
Çankaya,Murat
